State,Year,Estimate (%)
Wyoming,2015-16,4.8
Alabama,2015-16,32.4
Alaska,2015-16,27.7
Arizona,2015-16,27.1
Arkansas,2015-16,35.7
California,2015-16,28.6
Colorado,2015-16,28.2
Connecticut,2015-16,32.5
Delaware,2015-16,30.2
District of Columbia,2015-16,32.5
Florida,2015-16,21.1
Georgia,2015-16,28.5
Hawaii,2015-16,42.5
Idaho,2015-16,23.5
Illinois,2015-16,26
Indiana,2015-16,22.3
Iowa,2015-16,28
Kansas,2015-16,28.6
Kentucky,2015-16,30.7
Louisiana,2015-16,33.1
Maine,2015-16,33.4
Maryland,2015-16,37.1
Massachusetts,2015-16,35.6
Michigan,2015-16,24.4
Minnesota,2015-16,30.5
Mississippi,2015-16,23.1
Missouri,2015-16,22.2
Montana,2015-16,22.9
Nebraska,2015-16,25.3
Nevada,2015-16,22
New Hampshire,2015-16,39.3
New Jersey,2015-16,33.2
New Mexico,2015-16,33.2
New York,2015-16,31.7
North Carolina,2015-16,28.5
North Dakota,2015-16,29.3
Ohio,2015-16,28.3
Oklahoma,2015-16,25.5
Oregon,2015-16,27.3
Pennsylvania,2015-16,35
United States,2015-16,29.1
Region 1,2015-16,35.8
Region 2,2015-16,32.3
Region 3,2015-16,33.9
Region 4,2015-16,26.1
Region 5,2015-16,26.2
Region 6,2015-16,32.8
Region 7,2015-16,25.3
Region 8,2015-16,28
Region 9,2015-16,28.3
Rhode Island,2015-16,46.6
South Carolina,2015-16,19.9
South Dakota,2015-16,36.2
Tennessee,2015-16,30.5
Texas,2015-16,33.6
Region 10,2015-16,28.3
Utah,2015-16,28.6
Vermont,2015-16,35.2
Virginia,2015-16,31.9
Washington,2015-16,30.3
West Virginia,2015-16,26.6
Wisconsin,2015-16,25.1
Wyoming,2015-16,18.5
Alabama,2015-16,40
Alaska,2015-16,32.9
Arizona,2015-16,33.5
Arkansas,2015-16,49.3
California,2015-16,37.7
Colorado,2015-16,38.7
Connecticut,2015-16,45.4
Delaware,2015-16,43
District of Columbia,2015-16,45.1
Florida,2015-16,26.2
Georgia,2015-16,36.2
Hawaii,2015-16,52.8
Idaho,2015-16,30.2
Illinois,2015-16,37
Indiana,2015-16,32.3
Iowa,2015-16,40.3
Kansas,2015-16,36.6
Kentucky,2015-16,38.3
Louisiana,2015-16,41.6
Maine,2015-16,45.5
Maryland,2015-16,55
Massachusetts,2015-16,55.5
Michigan,2015-16,33.1
Minnesota,2015-16,43.6
Mississippi,2015-16,29.3
Missouri,2015-16,31.5
Montana,2015-16,33.8
Nebraska,2015-16,40.8
Nevada,2015-16,31.3
New Hampshire,2015-16,48.3
New Jersey,2015-16,41.3
New Mexico,2015-16,50.1
New York,2015-16,42.1
North Carolina,2015-16,39.2
North Dakota,2015-16,43.4
Ohio,2015-16,39
Oklahoma,2015-16,31.8
Oregon,2015-16,36.3
Pennsylvania,2015-16,43.1
United States,2015-16,38.5
Region 1,2015-16,51.6
Region 2,2015-16,41.8
Region 3,2015-16,44.3
Region 4,2015-16,33.6
Region 5,2015-16,36.7
Region 6,2015-16,40.9
Region 7,2015-16,36.1
Region 8,2015-16,38.8
Region 9,2015-16,37
Rhode Island,2015-16,60.1
South Carolina,2015-16,28
South Dakota,2015-16,57.1
Tennessee,2015-16,39.5
Texas,2015-16,40.7
Region 10,2015-16,36.3
Utah,2015-16,38.2
Vermont,2015-16,47.8
Virginia,2015-16,40.2
Washington,2015-16,38.4
West Virginia,2015-16,39
Wisconsin,2015-16,36.1
Wyoming,2015-16,24
Alabama,2015-16,42.4
Alaska,2015-16,35.1
Arizona,2015-16,35.4
Arkansas,2015-16,51.1
California,2015-16,43.8
Colorado,2015-16,43.3
Connecticut,2015-16,50.8
Delaware,2015-16,44.7
District of Columbia,2015-16,53
Florida,2015-16,28.8
Georgia,2015-16,36.5
Hawaii,2015-16,58.6
Idaho,2015-16,33.2
Illinois,2015-16,39.7
Indiana,2015-16,35.4
Iowa,2015-16,43.7
Kansas,2015-16,38
Kentucky,2015-16,42.3
Louisiana,2015-16,43.2
Maine,2015-16,48.1
Maryland,2015-16,59.5
Massachusetts,2015-16,60.1
Michigan,2015-16,34.8
Minnesota,2015-16,47
Mississippi,2015-16,32
Missouri,2015-16,33.5
Montana,2015-16,37.3
Nebraska,2015-16,46.9
Nevada,2015-16,32.6
New Hampshire,2015-16,51
New Jersey,2015-16,46.2
New Mexico,2015-16,53.9
New York,2015-16,46.3
North Carolina,2015-16,40.9
North Dakota,2015-16,44.4
Ohio,2015-16,42.2
Oklahoma,2015-16,33.4
Oregon,2015-16,38.2
Pennsylvania,2015-16,46.2
United States,2015-16,41.9
Region 1,2015-16,55.9
Region 2,2015-16,46.3
Region 3,2015-16,47.5
Region 4,2015-16,35.7
Region 5,2015-16,39.6
Region 6,2015-16,44.1
Region 7,2015-16,38.9
Region 8,2015-16,41.3
Region 9,2015-16,42.4
Rhode Island,2015-16,65.7
South Carolina,2015-16,29.1
South Dakota,2015-16,58.2
Tennessee,2015-16,42.7
Texas,2015-16,44.6
Region 10,2015-16,38.9
Utah,2015-16,39.1
Vermont,2015-16,51
Virginia,2015-16,43.3
Washington,2015-16,41.4
West Virginia,2015-16,39.6
Wisconsin,2015-16,39.2
Wyoming,2015-16,25.5
Alabama,2015-16,45.7
Alaska,2015-16,35.2
Arizona,2015-16,38
Arkansas,2015-16,53.2
California,2015-16,45.4
Colorado,2015-16,44.9
Connecticut,2015-16,51.7
Delaware,2015-16,46.9
District of Columbia,2015-16,56.5
Florida,2015-16,30.7
Georgia,2015-16,38.3
Hawaii,2015-16,58.6
Idaho,2015-16,34.4
Illinois,2015-16,40.5
Indiana,2015-16,36.4
Iowa,2015-16,45.5
Kansas,2015-16,38.7
Kentucky,2015-16,43.6
Louisiana,2015-16,45.9
Maine,2015-16,52.7
Maryland,2015-16,61.2
Massachusetts,2015-16,62
Michigan,2015-16,36.9
Minnesota,2015-16,47.6
Mississippi,2015-16,34.5
Missouri,2015-16,36
Montana,2015-16,37.6
Nebraska,2015-16,47.4
Nevada,2015-16,33.6
New Hampshire,2015-16,52.4
New Jersey,2015-16,49.8
New Mexico,2015-16,55.6
New York,2015-16,49.5
North Carolina,2015-16,45.2
North Dakota,2015-16,46.3
Ohio,2015-16,43.9
Oklahoma,2015-16,34.9
Oregon,2015-16,39.1
Pennsylvania,2015-16,47.6
United States,2015-16,43.8
Region 1,2015-16,57.7
Region 2,2015-16,49.6
Region 3,2015-16,49
Region 4,2015-16,38.2
Region 5,2015-16,40.9
Region 6,2015-16,46.3
Region 7,2015-16,40.6
Region 8,2015-16,42.3
Region 9,2015-16,44.1
Rhode Island,2015-16,67.9
South Carolina,2015-16,31
South Dakota,2015-16,58.9
Tennessee,2015-16,45.5
Texas,2015-16,46.8
Region 10,2015-16,40.7
Utah,2015-16,39.7
Vermont,2015-16,51.3
Virginia,2015-16,44.7
Washington,2015-16,44.1
West Virginia,2015-16,40.1
Wisconsin,2015-16,40
Wyoming,2015-16,25.5
Alabama,2015-16,47.8
Alaska,2015-16,39.2
Arizona,2015-16,38.6
Arkansas,2015-16,54.5
California,2015-16,46.6
Colorado,2015-16,47.5
Connecticut,2015-16,52.8
Delaware,2015-16,47.8
District of Columbia,2015-16,59.6
Florida,2015-16,31.5
Georgia,2015-16,39
Hawaii,2015-16,59.6
Idaho,2015-16,34.4
Illinois,2015-16,41.8
Indiana,2015-16,39.4
Iowa,2015-16,46.8
Kansas,2015-16,39.1
Kentucky,2015-16,44.4
Louisiana,2015-16,46.8
Maine,2015-16,53.2
Maryland,2015-16,63.2
Massachusetts,2015-16,62.2
Michigan,2015-16,37.5
Minnesota,2015-16,48.2
Mississippi,2015-16,35.8
Missouri,2015-16,36.9
Montana,2015-16,37.6
Nebraska,2015-16,50.1
Nevada,2015-16,34.4
New Hampshire,2015-16,55.2
New Jersey,2015-16,52.4
New Mexico,2015-16,55.6
New York,2015-16,52.6
North Carolina,2015-16,45.9
North Dakota,2015-16,46.3
Ohio,2015-16,44.4
Oklahoma,2015-16,34.9
Oregon,2015-16,40.1
Pennsylvania,2015-16,47.7
United States,2015-16,45.2
Region 1,2015-16,58.5
Region 2,2015-16,52.5
Region 3,2015-16,49.8
Region 4,2015-16,39.6
Region 5,2015-16,41.9
Region 6,2015-16,47.4
Region 7,2015-16,41.7
Region 8,2015-16,44.2
Region 9,2015-16,45.1
Rhode Island,2015-16,69.4
South Carolina,2015-16,35.3
South Dakota,2015-16,60.3
Tennessee,2015-16,48.1
Texas,2015-16,48.2
Region 10,2015-16,43.2
Utah,2015-16,41.5
Vermont,2015-16,51.7
Virginia,2015-16,45.1
Washington,2015-16,47.9
West Virginia,2015-16,43.4
Wisconsin,2015-16,40.2
Wyoming,2015-16,26.8
Alabama,2015-16,47.8
Alaska,2015-16,39.7
Arizona,2015-16,38.6
Arkansas,2015-16,54.5
California,2015-16,47.4
Colorado,2015-16,48.7
Connecticut,2015-16,52.8
Delaware,2015-16,52.7
District of Columbia,2015-16,62.2
Florida,2015-16,32.5
Georgia,2015-16,41.9
Hawaii,2015-16,59.8
Idaho,2015-16,35
Illinois,2015-16,41.8
Indiana,2015-16,40.3
Iowa,2015-16,46.8
Kansas,2015-16,39.1
Kentucky,2015-16,45.3
Louisiana,2015-16,46.8
Maine,2015-16,55.7
Maryland,2015-16,64.1
Massachusetts,2015-16,62.6
Michigan,2015-16,39.5
Minnesota,2015-16,48.2
Mississippi,2015-16,38.3
Missouri,2015-16,38.3
Montana,2015-16,37.6
Nebraska,2015-16,50.1
Nevada,2015-16,34.7
New Hampshire,2015-16,55.7
New Jersey,2015-16,52.4
New Mexico,2015-16,55.7
New York,2015-16,53
North Carolina,2015-16,48.1
North Dakota,2015-16,46.3
Ohio,2015-16,44.4
Oklahoma,2015-16,34.9
Oregon,2015-16,40.1
Pennsylvania,2015-16,48.5
United States,2015-16,46.2
Region 1,2015-16,59
Region 2,2015-16,52.8
Region 3,2015-16,51.4
Region 4,2015-16,41.6
Region 5,2015-16,42.6
Region 6,2015-16,48.2
Region 7,2015-16,42.4
Region 8,2015-16,45.2
Region 9,2015-16,45.8
Rhode Island,2015-16,69.4
South Carolina,2015-16,42.3
South Dakota,2015-16,62.9
Tennessee,2015-16,48.7
Texas,2015-16,49.4
Region 10,2015-16,43.5
Utah,2015-16,42.6
Vermont,2015-16,51.7
Virginia,2015-16,48.2
Washington,2015-16,48.4
West Virginia,2015-16,47.9
Wisconsin,2015-16,42
Wyoming,2015-16,26.8
Alabama,2015-16,50
Alaska,2015-16,39.7
Arizona,2015-16,39.2
Arkansas,2015-16,54.5
California,2015-16,47.4
Colorado,2015-16,48.7
Connecticut,2015-16,54
Delaware,2015-16,52.7
District of Columbia,2015-16,63.3
Florida,2015-16,32.5
Georgia,2015-16,42.9
Hawaii,2015-16,60
Idaho,2015-16,35
Illinois,2015-16,41.8
Indiana,2015-16,40.3
Iowa,2015-16,46.8
Kansas,2015-16,39.5
Kentucky,2015-16,45.3
Louisiana,2015-16,47.4
Maine,2015-16,55.7
Maryland,2015-16,64.1
Massachusetts,2015-16,62.6
Michigan,2015-16,39.5
Minnesota,2015-16,48.2
Mississippi,2015-16,40.6
Missouri,2015-16,38.3
Montana,2015-16,37.6
Nebraska,2015-16,50.1
Nevada,2015-16,34.7
New Hampshire,2015-16,56.8
New Jersey,2015-16,54.2
New Mexico,2015-16,55.7
New York,2015-16,53
North Carolina,2015-16,48.1
North Dakota,2015-16,51.8
Ohio,2015-16,45.6
Oklahoma,2015-16,34.9
Oregon,2015-16,40.1
Pennsylvania,2015-16,48.6
United States,2015-16,46.6
Region 1,2015-16,59.4
Region 2,2015-16,53.4
Region 3,2015-16,51.5
Region 4,2015-16,42.2
Region 5,2015-16,43
Region 6,2015-16,48.6
Region 7,2015-16,42.5
Region 8,2015-16,45.5
Region 9,2015-16,45.9
Rhode Island,2015-16,69.4
South Carolina,2015-16,42.7
South Dakota,2015-16,62.9
Tennessee,2015-16,50.3
Texas,2015-16,50
Region 10,2015-16,44.1
Utah,2015-16,42.6
Vermont,2015-16,51.7
Virginia,2015-16,48.2
Washington,2015-16,49.5
West Virginia,2015-16,47.9
Wisconsin,2015-16,42.7
Wyoming,2015-16,26.8
Alabama,2015-16,50
Alaska,2015-16,39.7
Arizona,2015-16,40.1
Arkansas,2015-16,54.5
California,2015-16,47.4
Colorado,2015-16,48.7
Connecticut,2015-16,54.6
Delaware,2015-16,52.7
District of Columbia,2015-16,63.3
Florida,2015-16,32.9
Georgia,2015-16,43.2
Hawaii,2015-16,61.3
Idaho,2015-16,35
Illinois,2015-16,43.2
Indiana,2015-16,40.3
Iowa,2015-16,46.8
Kansas,2015-16,39.5
Kentucky,2015-16,45.3
Louisiana,2015-16,47.4
Maine,2015-16,55.7
Maryland,2015-16,64.1
Massachusetts,2015-16,62.6
Michigan,2015-16,39.5
Minnesota,2015-16,48.2
Mississippi,2015-16,40.6
Missouri,2015-16,39.4
Montana,2015-16,37.7
Nebraska,2015-16,50.1
Nevada,2015-16,34.7
New Hampshire,2015-16,57.1
New Jersey,2015-16,54.2
New Mexico,2015-16,59.4
New York,2015-16,53.3
North Carolina,2015-16,48.1
North Dakota,2015-16,51.8
Ohio,2015-16,45.6
Oklahoma,2015-16,34.9
Oregon,2015-16,40.1
Pennsylvania,2015-16,48.7
United States,2015-16,46.8
Region 1,2015-16,59.6
Region 2,2015-16,53.6
Region 3,2015-16,51.6
Region 4,2015-16,42.6
Region 5,2015-16,43.3
Region 6,2015-16,48.9
Region 7,2015-16,42.9
Region 8,2015-16,45.6
Region 9,2015-16,46
Rhode Island,2015-16,69.4
South Carolina,2015-16,45
South Dakota,2015-16,64
Tennessee,2015-16,50.3
Texas,2015-16,50.2
Region 10,2015-16,44.1
Utah,2015-16,42.6
Vermont,2015-16,51.7
Virginia,2015-16,48.2
Washington,2015-16,49.5
West Virginia,2015-16,47.9
Wisconsin,2015-16,42.7
Wyoming,2015-16,26.8
Alabama,2016-17,NR †
Alaska,2016-17,NR †
Arizona,2016-17,NR †
Arkansas,2016-17,NR †
California,2016-17,NR †
Colorado,2016-17,NR †
Connecticut,2016-17,NR †
Delaware,2016-17,NR †
District of Columbia,2016-17,2.9
Florida,2016-17,NR †
Georgia,2016-17,NR †
Hawaii,2016-17,NR †
Idaho,2016-17,NR †
Illinois,2016-17,1.6
Indiana,2016-17,NR †
Iowa,2016-17,NR †
Kansas,2016-17,NR †
Kentucky,2016-17,NR †
Louisiana,2016-17,NR †
Maine,2016-17,NR †
Maryland,2016-17,NR †
Massachusetts,2016-17,NR †
Michigan,2016-17,NR †
Minnesota,2016-17,NR †
Mississippi,2016-17,NR †
Missouri,2016-17,NR †
Montana,2016-17,NR †
Nebraska,2016-17,NR †
Nevada,2016-17,NR †
New Hampshire,2016-17,NR †
New Jersey,2016-17,NR †
New Mexico,2016-17,NR †
New York,2016-17,1.4
North Carolina,2016-17,NR †
North Dakota,2016-17,NR †
Ohio,2016-17,NR †
Oklahoma,2016-17,NR †
Oregon,2016-17,NR †
Pennsylvania,2016-17,0.6
United States,2016-17,1.1
Region 1,2016-17,NR †
Region 2,2016-17,1.4
Region 3,2016-17,0.9
Region 4,2016-17,1.1
Region 5,2016-17,0.8
Region 6,2016-17,NR †
Region 7,2016-17,0.9
Region 8,2016-17,NR †
Region 9,2016-17,NR †
Rhode Island,2016-17,NR †
South Carolina,2016-17,NR †
South Dakota,2016-17,NR †
Tennessee,2016-17,NR †
Texas,2016-17,NR †
Region 10,2016-17,NR †
Utah,2016-17,NR †
Virginia,2016-17,NR †
Washington,2016-17,NR †
West Virginia,2016-17,NR †
Wisconsin,2016-17,NR †
Wyoming,2016-17,NR †
Alabama,2016-17,NR †
Alaska,2016-17,NR †
Arizona,2016-17,4.6
Arkansas,2016-17,2.4
California,2016-17,4.9
Colorado,2016-17,3.6
Connecticut,2016-17,4.9
Delaware,2016-17,3.6
District of Columbia,2016-17,10.3
Florida,2016-17,10.9
Georgia,2016-17,7
Hawaii,2016-17,6.5
Idaho,2016-17,2.7
Illinois,2016-17,4.5
Indiana,2016-17,4.1
Iowa,2016-17,NR †
Kansas,2016-17,5.6
Kentucky,2016-17,3.8
Louisiana,2016-17,NR †
Maine,2016-17,NR †
Maryland,2016-17,NR †
Massachusetts,2016-17,NR †
Michigan,2016-17,4.2
Minnesota,2016-17,3.2
Mississippi,2016-17,3.9
Missouri,2016-17,6
Montana,2016-17,4.1
Nebraska,2016-17,5.3
Nevada,2016-17,5.5
New Hampshire,2016-17,NR †
New Jersey,2016-17,5.3
New Mexico,2016-17,7.8
New York,2016-17,4.3
North Carolina,2016-17,4.5
North Dakota,2016-17,NR †
Ohio,2016-17,NR †
Oklahoma,2016-17,NR †
Oregon,2016-17,NR †
Pennsylvania,2016-17,4
United States,2016-17,5.4
Region 1,2016-17,NR †
Region 2,2016-17,4.6
Region 3,2016-17,4.9
Region 4,2016-17,6.9
Region 5,2016-17,4
Region 6,2016-17,7.6
Region 7,2016-17,5.4
Region 8,2016-17,3.6
Region 9,2016-17,4.9
Rhode Island,2016-17,4.8
South Carolina,2016-17,4.4
South Dakota,2016-17,NR †
Tennessee,2016-17,NR †
Texas,2016-17,8.4
Region 10,2016-17,3
Utah,2016-17,NR †
Vermont,2016-17,NR †
Virginia,2016-17,4.1
Washington,2016-17,NR †
West Virginia,2016-17,NR †
Wisconsin,2016-17,2.9
Wyoming,2016-17,NR †
Alabama,2016-17,14.6
Alaska,2016-17,15.4
Arizona,2016-17,11.9
Arkansas,2016-17,9
California,2016-17,11.6
Colorado,2016-17,8.2
Connecticut,2016-17,14.5
Delaware,2016-17,19.9
District of Columbia,2016-17,21.4
Florida,2016-17,21
Georgia,2016-17,14.5
Hawaii,2016-17,15.6
Idaho,2016-17,5.8
Illinois,2016-17,12
Indiana,2016-17,10.5
Iowa,2016-17,9.5
Kansas,2016-17,10.7
Kentucky,2016-17,8
Louisiana,2016-17,15.5
Maine,2016-17,15.5
Maryland,2016-17,16.5
Massachusetts,2016-17,20.4
Michigan,2016-17,NR †
Minnesota,2016-17,10.4
Mississippi,2016-17,11.1
Missouri,2016-17,12
Montana,2016-17,7.1
Nebraska,2016-17,11.3
Nevada,2016-17,12.2
New Hampshire,2016-17,13.2
New Jersey,2016-17,16.7
New Mexico,2016-17,19
New York,2016-17,15.3
North Carolina,2016-17,13.7
North Dakota,2016-17,8.3
Ohio,2016-17,9.7
Oklahoma,2016-17,13.2
Oregon,2016-17,8.7
Pennsylvania,2016-17,15.2
United States,2016-17,13.6
Region 1,2016-17,17
Region 2,2016-17,15.8
Region 3,2016-17,15
Region 4,2016-17,14.9
Region 5,2016-17,13
Region 6,2016-17,15.1
Region 7,2016-17,11.1
Region 8,2016-17,8
Region 9,2016-17,11.8
Rhode Island,2016-17,14
South Carolina,2016-17,9.9
South Dakota,2016-17,12.4
Tennessee,2016-17,10.3
Texas,2016-17,15.6
Region 10,2016-17,10.1
Utah,2016-17,7.2
Vermont,2016-17,10
Virginia,2016-17,13.4
Washington,2016-17,11.6
West Virginia,2016-17,10.9
Wisconsin,2016-17,9.2
Wyoming,2016-17,5.9
Alabama,2016-17,31.9
Alaska,2016-17,29.6
Arizona,2016-17,22.6
Arkansas,2016-17,33.1
California,2016-17,26.8
Colorado,2016-17,28.8
Connecticut,2016-17,35.1
Delaware,2016-17,40.4
District of Columbia,2016-17,35.9
Florida,2016-17,34.7
Georgia,2016-17,29.8
Hawaii,2016-17,26
Idaho,2016-17,18.7
Illinois,2016-17,28
Indiana,2016-17,26.5
Iowa,2016-17,28.2
Kansas,2016-17,26.1
Kentucky,2016-17,20
Louisiana,2016-17,28.8
Maine,2016-17,36.7
Maryland,2016-17,36.8
Massachusetts,2016-17,41.9
Michigan,2016-17,37.8
Minnesota,2016-17,29.5
Mississippi,2016-17,27.4
Missouri,2016-17,29
Montana,2016-17,27.7
Nebraska,2016-17,29.8
Nevada,2016-17,22.9
New Hampshire,2016-17,32.6
New Jersey,2016-17,29.4
New Mexico,2016-17,41.1
New York,2016-17,36.3
North Carolina,2016-17,29.3
North Dakota,2016-17,33.4
Ohio,2016-17,26.1
Oklahoma,2016-17,28.4
Oregon,2016-17,21.8
Pennsylvania,2016-17,37.7
United States,2016-17,30.2
Region 1,2016-17,38.3
Region 2,2016-17,34
Region 3,2016-17,33.8
Region 4,2016-17,30.1
Region 5,2016-17,29.7
Region 6,2016-17,31.3
Region 7,2016-17,28.3
Region 8,2016-17,27.4
Region 9,2016-17,25.9
Rhode Island,2016-17,42.2
South Carolina,2016-17,25.8
South Dakota,2016-17,38.4
Tennessee,2016-17,28.7
Texas,2016-17,31
Region 10,2016-17,25.3
Utah,2016-17,23.4
Vermont,2016-17,27.5
Virginia,2016-17,27.2
Washington,2016-17,28.7
West Virginia,2016-17,23.9
Wisconsin,2016-17,27.4
Wyoming,2016-17,18.3
Alabama,2016-17,36.5
Alaska,2016-17,36.6
Arizona,2016-17,29.7
Arkansas,2016-17,42.3
California,2016-17,39.3
Colorado,2016-17,39.6
Connecticut,2016-17,48.1
Delaware,2016-17,52.2
District of Columbia,2016-17,44
Florida,2016-17,41.1
Georgia,2016-17,36.8
Hawaii,2016-17,38.2
Idaho,2016-17,27.2
Illinois,2016-17,36
Indiana,2016-17,31.9
Iowa,2016-17,37.8
Kansas,2016-17,35.2
Kentucky,2016-17,27.9
Louisiana,2016-17,35.3
Maine,2016-17,47.7
Maryland,2016-17,51.5
Massachusetts,2016-17,55.1
Michigan,2016-17,44.2
Minnesota,2016-17,39.4
Mississippi,2016-17,35.6
Missouri,2016-17,35.9
Montana,2016-17,34.1
Nebraska,2016-17,38.4
Nevada,2016-17,28.6
New Hampshire,2016-17,44.6
New Jersey,2016-17,40
New Mexico,2016-17,51.5
New York,2016-17,47.4
North Carolina,2016-17,40.8
North Dakota,2016-17,46.7
Ohio,2016-17,34.6
Oklahoma,2016-17,36.6
Oregon,2016-17,35.9
Pennsylvania,2016-17,45.3
United States,2016-17,39.6
Region 1,2016-17,51.4
Region 2,2016-17,44.9
Region 3,2016-17,45.4
Region 4,2016-17,37.9
Region 5,2016-17,37.5
Region 6,2016-17,39.9
Region 7,2016-17,36.5
Region 8,2016-17,37
Region 9,2016-17,37.1
Rhode Island,2016-17,57.5
South Carolina,2016-17,31.7
South Dakota,2016-17,50.3
Tennessee,2016-17,39.3
Texas,2016-17,39.7
Region 10,2016-17,34.6
Utah,2016-17,30.7
Vermont,2016-17,40
Virginia,2016-17,41.4
Washington,2016-17,35.6
West Virginia,2016-17,40.9
Wisconsin,2016-17,38.3
Wyoming,2016-17,30.1
Alabama,2016-17,40.2
Alaska,2016-17,37.4
Arizona,2016-17,32.9
Arkansas,2016-17,43.5
California,2016-17,43.4
Colorado,2016-17,41
Connecticut,2016-17,52.2
Delaware,2016-17,55
District of Columbia,2016-17,49.2
Florida,2016-17,44.3
Georgia,2016-17,39.5
Hawaii,2016-17,41.9
Idaho,2016-17,30
Illinois,2016-17,40.8
Indiana,2016-17,36.2
Iowa,2016-17,41.5
Kansas,2016-17,37.7
Kentucky,2016-17,29.6
Louisiana,2016-17,40
Maine,2016-17,49.8
Maryland,2016-17,53.3
Massachusetts,2016-17,58.9
Michigan,2016-17,49.1
Minnesota,2016-17,41.9
Mississippi,2016-17,38.8
Missouri,2016-17,40.3
Montana,2016-17,34.6
Nebraska,2016-17,45.4
Nevada,2016-17,30.5
New Hampshire,2016-17,47
New Jersey,2016-17,43.7
New Mexico,2016-17,54.3
New York,2016-17,51.1
North Carolina,2016-17,42.1
North Dakota,2016-17,49.2
Ohio,2016-17,38.4
Oklahoma,2016-17,42.5
Oregon,2016-17,39.2
Pennsylvania,2016-17,47.5
United States,2016-17,43.2
Region 1,2016-17,55.2
Region 2,2016-17,48.6
Region 3,2016-17,47.8
Region 4,2016-17,40.6
Region 5,2016-17,41.8
Region 6,2016-17,44.9
Region 7,2016-17,40.7
Region 8,2016-17,38.2
Region 9,2016-17,40.9
Rhode Island,2016-17,64.4
South Carolina,2016-17,34.6
South Dakota,2016-17,52.7
Tennessee,2016-17,43
Texas,2016-17,45.3
Region 10,2016-17,37.3
Utah,2016-17,31.5
Vermont,2016-17,45
Virginia,2016-17,44.6
Washington,2016-17,38.2
West Virginia,2016-17,42.4
Wisconsin,2016-17,42.1
Wyoming,2016-17,31.1
Alabama,2016-17,42.3
Alaska,2016-17,37.7
Arizona,2016-17,34.4
Arkansas,2016-17,45.8
California,2016-17,45.1
Colorado,2016-17,43.8
Connecticut,2016-17,53.3
Delaware,2016-17,55.9
District of Columbia,2016-17,52.5
Florida,2016-17,45.3
Georgia,2016-17,40.4
Hawaii,2016-17,45.4
Idaho,2016-17,31.5
Illinois,2016-17,43.7
Indiana,2016-17,36.5
Iowa,2016-17,43.1
Kansas,2016-17,38.4
Kentucky,2016-17,31.6
Louisiana,2016-17,43.3
Maine,2016-17,50.4
Maryland,2016-17,56
Massachusetts,2016-17,60.8
Michigan,2016-17,51
Minnesota,2016-17,41.9
Mississippi,2016-17,40.3
Missouri,2016-17,42.6
Montana,2016-17,38
Nebraska,2016-17,45.8
Nevada,2016-17,33.7
New Hampshire,2016-17,50.8
New Jersey,2016-17,45.5
New Mexico,2016-17,54.8
New York,2016-17,54.8
North Carolina,2016-17,43.5
North Dakota,2016-17,50.1
Ohio,2016-17,40.5
Oklahoma,2016-17,45.1
Oregon,2016-17,40.8
Pennsylvania,2016-17,49.5
United States,2016-17,45.1
Region 1,2016-17,56.9
Region 2,2016-17,51.6
Region 3,2016-17,49.7
Region 4,2016-17,42
Region 5,2016-17,43.5
Region 6,2016-17,47.6
Region 7,2016-17,42.2
Region 8,2016-17,40.2
Region 9,2016-17,42.7
Rhode Island,2016-17,66.4
South Carolina,2016-17,37.8
South Dakota,2016-17,53
Tennessee,2016-17,43.6
Texas,2016-17,48.2
Region 10,2016-17,38.6
Utah,2016-17,32.9
Vermont,2016-17,45.6
Virginia,2016-17,45.6
Washington,2016-17,39.3
West Virginia,2016-17,46.1
Wisconsin,2016-17,42.7
Wyoming,2016-17,31.5
Alabama,2016-17,43.2
Alaska,2016-17,38
Arizona,2016-17,35.8
Arkansas,2016-17,48.2
California,2016-17,50.1
Colorado,2016-17,44.7
Connecticut,2016-17,55.5
Delaware,2016-17,58.4
District of Columbia,2016-17,54.4
Florida,2016-17,47.8
Georgia,2016-17,40.4
Hawaii,2016-17,46.3
Idaho,2016-17,33.1
Illinois,2016-17,44.4
Indiana,2016-17,37.3
Iowa,2016-17,43.5
Kansas,2016-17,40.9
Kentucky,2016-17,34.4
Louisiana,2016-17,46.4
Maine,2016-17,52.5
Maryland,2016-17,59.2
Massachusetts,2016-17,61.7
Michigan,2016-17,51.1
Minnesota,2016-17,44.2
Mississippi,2016-17,40.3
Missouri,2016-17,42.6
Montana,2016-17,38.3
Nebraska,2016-17,48.6
Nevada,2016-17,33.7
New Hampshire,2016-17,51.7
New Jersey,2016-17,47.2
New Mexico,2016-17,55.7
New York,2016-17,57
North Carolina,2016-17,46
North Dakota,2016-17,51.2
Ohio,2016-17,40.8
Oklahoma,2016-17,45.1
Oregon,2016-17,41.9
Pennsylvania,2016-17,50.8
United States,2016-17,47
Region 1,2016-17,58.4
Region 2,2016-17,53.7
Region 3,2016-17,52.1
Region 4,2016-17,43.9
Region 5,2016-17,44.1
Region 6,2016-17,48.6
Region 7,2016-17,43.3
Region 8,2016-17,41.5
Region 9,2016-17,46.7
Rhode Island,2016-17,68.4
South Carolina,2016-17,38.9
South Dakota,2016-17,54
Tennessee,2016-17,46.9
Texas,2016-17,48.8
Region 10,2016-17,40.6
Utah,2016-17,35.1
Vermont,2016-17,48.3
Virginia,2016-17,49.4
Washington,2016-17,42.4
West Virginia,2016-17,46.4
